"Geographic code","Geographic name","Global non-response rate","Data quality flag","Income source","Sex","Total population 15 years and over - 2006","Total population 15 years and over - 2016","Number of income recipients - 2005","Number of income recipients - 2015","Median amount (2015 constant dollars) - 2005","Median amount (2015 constant dollars) - 2015","Median amount (2015 constant dollars) - % change"
"47","Saskatchewan",4.8,"00000","Total income","Males",370635,424245,355690,407715,35034,46117,31.6
"47","Saskatchewan",4.8,"00000","Total income","Females",389635,433025,372010,414905,23527,31978,35.9
"47","Saskatchewan",4.8,"00000","After-tax income","Both sexes",760270,857270,727525,822745,25661,34570,34.7
"47","Saskatchewan",4.8,"00000","After-tax income","Males",370635,424245,355555,407730,30712,40492,31.8
"47","Saskatchewan",4.8,"00000","After-tax income","Females",389635,433025,371970,415015,22082,29564,33.9
"47","Saskatchewan",4.8,"00000","Employment income","Both sexes",760270,857270,552945,636950,27247,36612,34.4
"47","Saskatchewan",4.8,"00000","Employment income","Males",370635,424245,288380,331980,33083,44551,34.7
"47","Saskatchewan",4.8,"00000","Employment income","Females",389635,433025,264565,304975,22811,30027,31.6
"48","Alberta",4.7,"20000","Total income","Both sexes",2602405,3206050,2506850,3053470,34236,42717,24.8
"48","Alberta",4.7,"20000","Total income","Males",1296425,1602690,1257060,1528280,45310,54891,21.1
"48","Alberta",4.7,"20000","Total income","Females",1305980,1603360,1249790,1525190,25756,33213,29.0
"48","Alberta",4.7,"20000","After-tax income","Both sexes",2602405,3206050,2506130,3054135,30807,38067,23.6
"48","Alberta",4.7,"20000","After-tax income","Males",1296425,1602690,1256550,1528420,39302,47131,19.9
"48","Alberta",4.7,"20000","After-tax income","Females",1305980,1603360,1249585,1525715,24136,30478,26.3
"48","Alberta",4.7,"20000","Employment income","Both sexes",2602405,3206050,2052735,2473670,35220,42679,21.2
"48","Alberta",4.7,"20000","Employment income","Males",1296425,1602690,1083380,1301635,46177,54361,17.7
"48","Alberta",4.7,"20000","Employment income","Females",1305980,1603360,969350,1172035,26027,32982,26.7
"59","British Columbia",4.9,"20000","Total income","Both sexes",3375870,3870330,3217555,3727360,29468,33012,12.0
"59","British Columbia",4.9,"20000","Total income","Males",1639455,1882870,1572340,1815505,37488,40370,7.7
"59","British Columbia",4.9,"20000","Total income","Females",1736415,1987460,1645215,1911860,23650,27543,16.5
"59","British Columbia",4.9,"20000","After-tax income","Both sexes",3375870,3870330,3216295,3731980,26996,29783,10.3
"59","British Columbia",4.9,"20000","After-tax income","Males",1639455,1882870,1571525,1819375,33503,35383,5.6
"59","British Columbia",4.9,"20000","After-tax income","Females",1736415,1987460,1644765,1912605,22413,25659,14.5
"59","British Columbia",4.9,"20000","Employment income","Both sexes",3375870,3870330,2384510,2775005,30475,31713,4.1
"59","British Columbia",4.9,"20000","Employment income","Males",1639455,1882870,1230310,1415295,38371,39186,2.1
"59","British Columbia",4.9,"20000","Employment income","Females",1736415,1987460,1154195,1359715,24226,26034,7.5
"60","Yukon",6.7,"00100","Total income","Both sexes",24160,28890,23240,27975,37487,45804,22.2
"60","Yukon",6.7,"00100","Total income","Males",12085,14325,11605,13845,41093,48685,18.5
"60","Yukon",6.7,"00100","Total income","Females",12070,14570,11630,14130,35372,43192,22.1
"60","Yukon",6.7,"00100","After-tax income","Both sexes",24160,28890,23235,27975,34029,41235,21.2
"60","Yukon",6.7,"00100","After-tax income","Males",12085,14325,11600,13840,36030,43240,20.0
"60","Yukon",6.7,"00100","After-tax income","Females",12070,14570,11630,14135,32008,39353,22.9
"60","Yukon",6.7,"00100","Employment income","Both sexes",24160,28890,19895,23945,37435,43341,15.8
"60","Yukon",6.7,"00100","Employment income","Males",12085,14325,10085,11930,40272,45938,14.1
"60","Yukon",6.7,"00100","Employment income","Females",12070,14570,9810,12015,35413,40804,15.2
"61","Northwest Territories",7.5,"00100","Total income","Both sexes",30835,32330,29310,31290,41416,50618,22.2
"61","Northwest Territories",7.5,"00100","Total income","Males",15730,16475,15030,15980,47260,54924,16.2
"61","Northwest Territories",7.5,"00100","Total income","Females",15105,15855,14280,15310,36055,46322,28.5
"61","Northwest Territories",7.5,"00100","After-tax income","Both sexes",30835,32330,29285,31290,36895,45254,22.7
"61","Northwest Territories",7.5,"00100","After-tax income","Males",15730,16475,15015,15980,41265,48505,17.5
"61","Northwest Territories",7.5,"00100","After-tax income","Females",15105,15855,14270,15310,33070,41935,26.8
"61","Northwest Territories",7.5,"00100","Employment income","Both sexes",30835,32330,25065,27155,47164,53161,12.7
"61","Northwest Territories",7.5,"00100","Employment income","Males",15730,16475,13230,14120,53091,57762,8.8
"61","Northwest Territories",7.5,"00100","Employment income","Females",15105,15855,11835,13025,41341,48970,18.5
"62","Nunavut",7.9,"00100","Total income","Both sexes",19220,23930,17200,22440,24723,29743,20.3
"62","Nunavut",7.9,"00100","Total income","Males",9855,12180,8795,11345,26424,28817,9.1
"62","Nunavut",7.9,"00100","Total income","Females",9370,11755,8405,11090,23668,30326,28.1
"62","Nunavut",7.9,"00100","After-tax income","Both sexes",19220,23930,17185,22440,23633,28635,21.2
"62","Nunavut",7.9,"00100","After-tax income","Males",9855,12180,8785,11345,24655,27517,11.6
"62","Nunavut",7.9,"00100","After-tax income","Females",9370,11755,8400,11095,22613,29403,30.0
"62","Nunavut",7.9,"00100","Employment income","Both sexes",19220,23930,13385,18590,31296,29724,-5.0
"62","Nunavut",7.9,"00100","Employment income","Males",9855,12180,7140,9605,34371,30603,-11.0
"62","Nunavut",7.9,"00100","Employment income","Females",9370,11755,6250,8985,29578,28640,-3.2
